"","Discipline","Description of Finding","Original Report","Replication Report"
"...2782","Cognitive Psychology","Playing videogames (gaming) improves the ability to reliably identify and react to stimuli, i.e. inspection and reaction times","Mackenzie B, Cumming S (1986). “How fragile is the relationship between inspection time and intelligence: The
 effects of apparent-motion cues and previous experience.” _Personality and Individual Differences_, *7*(5),
 721–729. ISSN 0191-8869, doi:10.1016/0191-8869(86)90043-7 <https://doi.org/10.1016/0191-8869%2886%2990043-7>,
 <http://dx.doi.org/10.1016/0191-8869(86)90043-7>.","Orosy-Fildes C, Allan RW (1989). “Psychology of Computer Use: XII. Videogame Play: Human Reaction Time to Visual
 Stimuli.” _Perceptual and Motor Skills_, *69*(1), 243–247. ISSN 1558-688X, doi:10.2466/pms.1989.69.1.243
 <https://doi.org/10.2466/pms.1989.69.1.243>, <http://dx.doi.org/10.2466/pms.1989.69.1.243>."
"...2783","Cognitive Psychology","Playing videogames (gaming) improves the ability to reliably identify and react to stimuli, i.e. inspection and reaction times","Mackenzie B, Cumming S (1986). “How fragile is the relationship between inspection time and intelligence: The
 effects of apparent-motion cues and previous experience.” _Personality and Individual Differences_, *7*(5),
 721–729. ISSN 0191-8869, doi:10.1016/0191-8869(86)90043-7 <https://doi.org/10.1016/0191-8869%2886%2990043-7>,
 <http://dx.doi.org/10.1016/0191-8869(86)90043-7>.","Goldstein J, Cajko L, Oosterbroek M, Michielsen M, Van Houten O, Salverda F (1997). “VIDEO GAMES AND THE
 ELDERLY.” _Social Behavior and Personality: an international journal_, *25*(4), 345–352. ISSN 0301-2212,
 doi:10.2224/sbp.1997.25.4.345 <https://doi.org/10.2224/sbp.1997.25.4.345>,
 <http://dx.doi.org/10.2224/sbp.1997.25.4.345>."
"...2784","Cognitive Psychology","Playing videogames (gaming) improves intelligence (IQ","Mackenzie B, Cumming S (1986). “How fragile is the relationship between inspection time and intelligence: The
 effects of apparent-motion cues and previous experience.” _Personality and Individual Differences_, *7*(5),
 721–729. ISSN 0191-8869, doi:10.1016/0191-8869(86)90043-7 <https://doi.org/10.1016/0191-8869%2886%2990043-7>,
 <http://dx.doi.org/10.1016/0191-8869(86)90043-7>.","Rabbitt P, Banerji N, Szymanski A (1989). “Space fortress as an IQ test? Predictions of learning and of practised
 performance in a complex interactive video-game.” _Acta Psychologica_, *71*(1–3), 243–257. ISSN 0001-6918,
 doi:10.1016/0001-6918(89)90011-5 <https://doi.org/10.1016/0001-6918%2889%2990011-5>,
 <http://dx.doi.org/10.1016/0001-6918(89)90011-5>."
"...2785","Cognitive Psychology","Playing videogames (gaming) improves intelligence (IQ","Mackenzie B, Cumming S (1986). “How fragile is the relationship between inspection time and intelligence: The
 effects of apparent-motion cues and previous experience.” _Personality and Individual Differences_, *7*(5),
 721–729. ISSN 0191-8869, doi:10.1016/0191-8869(86)90043-7 <https://doi.org/10.1016/0191-8869%2886%2990043-7>,
 <http://dx.doi.org/10.1016/0191-8869(86)90043-7>.","van Schie EGM, Wiegman O (1997). “Children and Videogames: Leisure Activities, Aggression, Social Integration,
 and School Performance1.” _Journal of Applied Social Psychology_, *27*(13), 1175–1194. ISSN 1559-1816,
 doi:10.1111/j.1559-1816.1997.tb01800.x <https://doi.org/10.1111/j.1559-1816.1997.tb01800.x>,
 <http://dx.doi.org/10.1111/j.1559-1816.1997.tb01800.x>."
"...2787","Cognitive Psychology","Playing videogames (gaming) improves the processing speed of cognitive tasks","Goldstein J, Cajko L, Oosterbroek M, Michielsen M, Van Houten O, Salverda F (1997). “VIDEO GAMES AND THE
 ELDERLY.” _Social Behavior and Personality: an international journal_, *25*(4), 345–352. ISSN 0301-2212,
 doi:10.2224/sbp.1997.25.4.345 <https://doi.org/10.2224/sbp.1997.25.4.345>,
 <http://dx.doi.org/10.2224/sbp.1997.25.4.345>.","Anguera JA, Boccanfuso J, Rintoul JL, Al-Hashimi O, Faraji F, Janowich J, Kong E, Larraburo Y, Rolle C, Johnston
 E, Gazzaley A (2013). “Video game training enhances cognitive control in older adults.” _Nature_, *501*(7465),
 97–101. ISSN 1476-4687, doi:10.1038/nature12486 <https://doi.org/10.1038/nature12486>,
 <http://dx.doi.org/10.1038/nature12486>."
"...2791","Cognitive Psychology","Bilingual advantages in executive control - Non-verbal task switching**. The idea that bilingual language switching on a daily basis makes bilinguals better at general non-verbal task switching, compared to monolinguals who do not perform this extensive daily language switching","Meuter RF, Allport A (1999). “Bilingual Language Switching in Naming: Asymmetrical Costs of Language Selection.”
 _Journal of Memory and Language_, *40*(1), 25–40. ISSN 0749-596X, doi:10.1006/jmla.1998.2602
 <https://doi.org/10.1006/jmla.1998.2602>, <http://dx.doi.org/10.1006/jmla.1998.2602>.","PRIOR A, MACWHINNEY B (2009). “A bilingual advantage in task switching.” _Bilingualism: Language and Cognition_,
 *13*(2), 253–262. ISSN 1469-1841, doi:10.1017/s1366728909990526 <https://doi.org/10.1017/s1366728909990526>,
 <http://dx.doi.org/10.1017/S1366728909990526>."
"...2793","Cognitive Psychology","Bilingual advantages in executive control - Non-verbal task switching**. The idea that bilingual language switching on a daily basis makes bilinguals better at general non-verbal task switching, compared to monolinguals who do not perform this extensive daily language switching","Meuter RF, Allport A (1999). “Bilingual Language Switching in Naming: Asymmetrical Costs of Language Selection.”
 _Journal of Memory and Language_, *40*(1), 25–40. ISSN 0749-596X, doi:10.1006/jmla.1998.2602
 <https://doi.org/10.1006/jmla.1998.2602>, <http://dx.doi.org/10.1006/jmla.1998.2602>.","Timmermeister M, Leseman P, Wijnen F, Blom E (2020). “No Bilingual Benefits Despite Relations Between Language
 Switching and Task Switching.” _Frontiers in Psychology_, *11*. ISSN 1664-1078, doi:10.3389/fpsyg.2020.01832
 <https://doi.org/10.3389/fpsyg.2020.01832>, <http://dx.doi.org/10.3389/fpsyg.2020.01832>."
"...2794","Cognitive Psychology","Bilingual advantages - theory of mind. ** Bilingual children are more likely to score higher in Theory of Mind tasks than monolingual counterparts, using an unexpected transfer task","GOETZ PJ (2003). “The effects of bilingualism on theory of mind development.” _Bilingualism: Language and
 Cognition_, *6*(1), 1–15. ISSN 1469-1841, doi:10.1017/s1366728903001007
 <https://doi.org/10.1017/s1366728903001007>, <http://dx.doi.org/10.1017/s1366728903001007>.","Dahlgren S, Almén H, Dahlgren Sandberg A (2017). “Theory of Mind and Executive Functions in Young Bilingual
 Children.” _The Journal of Genetic Psychology_, *178*(5), 303–307. ISSN 1940-0896,
 doi:10.1080/00221325.2017.1361376 <https://doi.org/10.1080/00221325.2017.1361376>,
 <http://dx.doi.org/10.1080/00221325.2017.1361376>."
"...2795","Cognitive Psychology","Bilingual advantages - theory of mind. ** Bilingual children are more likely to score higher in Theory of Mind tasks than monolingual counterparts, using an unexpected transfer task","GOETZ PJ (2003). “The effects of bilingualism on theory of mind development.” _Bilingualism: Language and
 Cognition_, *6*(1), 1–15. ISSN 1469-1841, doi:10.1017/s1366728903001007
 <https://doi.org/10.1017/s1366728903001007>, <http://dx.doi.org/10.1017/s1366728903001007>.","Diaz V, Farrar MJ (2018). “Do bilingual and monolingual preschoolers acquire false belief understanding
 similarly? The role of executive functioning and language.” _First Language_, *38*(4), 382–398. ISSN 1740-2344,
 doi:10.1177/0142723717752741 <https://doi.org/10.1177/0142723717752741>,
 <http://dx.doi.org/10.1177/0142723717752741>."
"...2797","Cognitive Psychology","Bilingual advantages - theory of mind. ** Bilingual children are more likely to score higher in Theory of Mind tasks than monolingual counterparts, using an unexpected transfer task","GOETZ PJ (2003). “The effects of bilingualism on theory of mind development.” _Bilingualism: Language and
 Cognition_, *6*(1), 1–15. ISSN 1469-1841, doi:10.1017/s1366728903001007
 <https://doi.org/10.1017/s1366728903001007>, <http://dx.doi.org/10.1017/s1366728903001007>.","GORDON KR (2015). “High proficiency across two languages is related to better mental state reasoning for
 bilingual children.” _Journal of Child Language_, *43*(2), 407–424. ISSN 1469-7602, doi:10.1017/s0305000915000276
 <https://doi.org/10.1017/s0305000915000276>, <http://dx.doi.org/10.1017/S0305000915000276>."
"...2798","Cognitive Psychology","Bilingual advantages - perspective taking in referential communication**. Bilingual children are more likely to score higher in Director tasks than monolingual counterparts, using the director task","Fan SP, Liberman Z, Keysar B, Kinzler KD (2015). “The Exposure Advantage: Early Exposure to a Multilingual
 Environment Promotes Effective Communication.” _Psychological Science_, *26*(7), 1090–1097. ISSN 1467-9280,
 doi:10.1177/0956797615574699 <https://doi.org/10.1177/0956797615574699>,
 <http://dx.doi.org/10.1177/0956797615574699>.","Navarro E, Conway AR (2021). “Adult bilinguals outperform monolinguals in theory of mind.” _Quarterly Journal of
 Experimental Psychology_, *74*(11), 1841–1851. ISSN 1747-0226, doi:10.1177/17470218211009159
 <https://doi.org/10.1177/17470218211009159>, <http://dx.doi.org/10.1177/17470218211009159>."
"...2800","Cognitive Psychology","Bilingualism disadvantages in creativity- fluency.** Monolinguals are more likely to rapidly produce a large number of ideas or solutions to a problem than bilinguals, using the Torrance Test","Gowan J, Torrance E (1965). “An Intercultural Study of Non-Verbal Ideational Fluency.” _Gifted Child Quarterly_,
 *9*(1), 13–15. ISSN 1934-9041, doi:10.1177/001698626500900103 <https://doi.org/10.1177/001698626500900103>,
 <http://dx.doi.org/10.1177/001698626500900103>.","Kharkhurin AV (2017). “Language Mediated Concept Activation in Bilingual Memory Facilitates Cognitive
 Flexibility.” _Frontiers in Psychology_, *8*. ISSN 1664-1078, doi:10.3389/fpsyg.2017.01067
 <https://doi.org/10.3389/fpsyg.2017.01067>, <http://dx.doi.org/10.3389/fpsyg.2017.01067>."
"...2806","Cognitive Psychology","Compared to monolinguals, bilinguals have often been found to be slower or less accurate in accessing the meaning of a certain word or the word for a certain representation under certain conditions. ​","Ransdell SE, Fischler I (1987). “Memory in a monolingual mode: When are bilinguals at a disadvantage?” _Journal
 of Memory and Language_, *26*(4), 392–405. ISSN 0749-596X, doi:10.1016/0749-596x(87)90098-2
 <https://doi.org/10.1016/0749-596x%2887%2990098-2>, <http://dx.doi.org/10.1016/0749-596x(87)90098-2>.","Gollan TH, Montoya RI, Fennema-Notestine C, Morris SK (2005). “Bilingualism affects picture naming but not
 picture classification.” _Memory &amp;amp; Cognition_, *33*(7), 1220–1234. ISSN 1532-5946, doi:10.3758/bf03193224
 <https://doi.org/10.3758/bf03193224>, <http://dx.doi.org/10.3758/BF03193224>."
"...2807","Cognitive Psychology","Compared to monolinguals, bilinguals have often been found to be slower or less accurate in accessing the meaning of a certain word or the word for a certain representation under certain conditions. ​","Ransdell SE, Fischler I (1987). “Memory in a monolingual mode: When are bilinguals at a disadvantage?” _Journal
 of Memory and Language_, *26*(4), 392–405. ISSN 0749-596X, doi:10.1016/0749-596x(87)90098-2
 <https://doi.org/10.1016/0749-596x%2887%2990098-2>, <http://dx.doi.org/10.1016/0749-596x(87)90098-2>.","Rosselli M, Ardila A, Araujo K, Weekes VA, Caracciolo V, Padilla M, Ostrosky-Solí F (2000). “Verbal Fluency and
 Repetition Skills in Healthy Older Spanish-English Bilinguals.” _Applied Neuropsychology_, *7*(1), 17–24. ISSN
 1532-4826, doi:10.1207/s15324826an0701_3 <https://doi.org/10.1207/s15324826an0701_3>,
 <http://dx.doi.org/10.1207/S15324826AN0701_3>."
"...2808","Cognitive Psychology","Compared to monolinguals, bilinguals have often been found to be slower or less accurate in accessing the meaning of a certain word or the word for a certain representation under certain conditions. ​","Ransdell SE, Fischler I (1987). “Memory in a monolingual mode: When are bilinguals at a disadvantage?” _Journal
 of Memory and Language_, *26*(4), 392–405. ISSN 0749-596X, doi:10.1016/0749-596x(87)90098-2
 <https://doi.org/10.1016/0749-596x%2887%2990098-2>, <http://dx.doi.org/10.1016/0749-596x(87)90098-2>.","ROSSELLI M, ARDILA A, SALVATIERRA J, MARQUEZ M, LUIS M, WEEKES VA (2002). “A CROSS-LINGUISTIC COMPARISON OF
 VERBAL FLUENCY TESTS.” _International Journal of Neuroscience_, *112*(6), 759–776. ISSN 1543-5245,
 doi:10.1080/00207450290025752 <https://doi.org/10.1080/00207450290025752>,
 <http://dx.doi.org/10.1080/00207450290025752>."
"...2810","Cognitive Psychology","Listening to Mozart’s sonata for two pianos in D major (KV 448) enhances performance on spatial tasks in standardised tests","Rauscher FH, Shaw GL, Ky CN (1993). “Music and spatial task performance.” _Nature_, *365*(6447), 611–611. ISSN
 1476-4687, doi:10.1038/365611a0 <https://doi.org/10.1038/365611a0>, <http://dx.doi.org/10.1038/365611a0>.","Steele, K., Bella, S., Peretz, I. et al. Prelude or requiem for the ‘Mozart effect’?. Nature 400, 827 (1999). https://doi.org/10.1038/23611"
"...2811","Cognitive Psychology","Listening to Mozart’s sonata for two pianos in D major (KV 448) enhances performance on spatial tasks in standardised tests","Rauscher FH, Shaw GL, Ky CN (1993). “Music and spatial task performance.” _Nature_, *365*(6447), 611–611. ISSN
 1476-4687, doi:10.1038/365611a0 <https://doi.org/10.1038/365611a0>, <http://dx.doi.org/10.1038/365611a0>.","Steele KM, Brown JD, Stoecker JA (1999). “Failure to Confirm the Rauscher and Shaw Description of Recovery of the
 Mozart Effect.” _Perceptual and Motor Skills_, *88*(3), 843–848. ISSN 1558-688X, doi:10.2466/pms.1999.88.3.843
 <https://doi.org/10.2466/pms.1999.88.3.843>, <http://dx.doi.org/10.2466/pms.1999.88.3.843>."
"...2812","Cognitive Psychology","Increased cognitive performance after listening to musical excerpts composed by Vivaldi (similar to Mozart effect","Mammarella N, Fairfield B, Cornoldi C (2007). “Does music enhance cognitive performance in healthy older adults?
 The Vivaldi effect.” _Aging Clinical and Experimental Research_, *19*(5), 394–399. ISSN 1720-8319,
 doi:10.1007/bf03324720 <https://doi.org/10.1007/bf03324720>, <http://dx.doi.org/10.1007/bf03324720>.","Giannouli V, Kolev V, Yordanova J (2018). “Is there a specific Vivaldi effect on verbal memory functions?
 Evidence from listening to music in younger and older adults.” _Psychology of Music_, *47*(3), 325–341. ISSN
 1741-3087, doi:10.1177/0305735618757901 <https://doi.org/10.1177/0305735618757901>,
 <http://dx.doi.org/10.1177/0305735618757901>."
"...2813","Cognitive Psychology","Education has a consistent positive effect on intelligence. A meta-analysis suggests that one additional year of education corresponds to a gain of approximately 1 to 5 IQ points (contingent on study design, inclusion of moderators, and publication-bias correction","Ceci SJ (1991). “How much does schooling influence general intelligence and its cognitive components? A
 reassessment of the evidence.” _Developmental Psychology_, *27*(5), 703–722. ISSN 0012-1649,
 doi:10.1037/0012-1649.27.5.703 <https://doi.org/10.1037/0012-1649.27.5.703>,
 <http://dx.doi.org/10.1037/0012-1649.27.5.703>.","Ritchie SJ, Tucker-Drob EM (2018). “How Much Does Education Improve Intelligence? A Meta-Analysis.”
 _Psychological Science_, *29*(8), 1358–1369. ISSN 1467-9280, doi:10.1177/0956797618774253
 <https://doi.org/10.1177/0956797618774253>, <http://dx.doi.org/10.1177/0956797618774253>."
